date,price,volume,returns
2023-01-01,101.04889100241274,14746.772556755906,0.010434283060224654
2023-01-02,100.82024543352324,27559.22162517055,-0.002265286023423693
2023-01-03,102.18582339230875,22305.585585746107,0.01345377076201385
2023-01-04,105.3990424250925,24286.50435102193,0.030960597128160506
2023-01-05,104.95907197137993,10167.892253073565,-0.00418306749446672
2023-01-06,104.52097241984796,22573.00888192116,-0.004182739138983611
2023-01-07,107.92882699663843,36242.882321264035,0.03208425631014783
2023-01-08,109.65298474771564,94008.79378634035,0.015848694583058175
2023-01-09,108.68254563036497,57484.51154613036,-0.008889487718699043
2023-01-10,109.92325146561876,189696.83233777672,0.011351200871719293
2023-01-11,108.96361884728418,10225.628408964305,-0.008768353856249245
2023-01-12,108.00736933721507,52697.359911609405,-0.008814595071405137
2023-01-13,108.58558944640038,26458.74498088068,0.005339245431320683
2023-01-14,104.56125792944356,196772.38491836362,-0.03776560489315596
2023-01-15,101.06609849046282,9815.33968275285,-0.03399835665026066
2023-01-16,99.98588166824842,9511.702464048714,-0.010745750584819453
2023-01-17,98.02988393479846,12095.724893357594,-0.019756622406688476
2023-01-18,98.6972730069165,2633.592797660169,0.0067849466519054775
2023-01-19,96.96953290842755,13020.039874549024,-0.017660481510424222
2023-01-20,94.31599197395005,10309.976920423736,-0.027746074026705835
2023-01-21,97.17016664071141,25601.18162108823,0.02981297537843108
2023-01-22,96.7807596693543,31000.418264427833,-0.004015526009730713
2023-01-23,96.96002448752397,143798.86613382056,0.0018505640937584767
2023-01-24,94.28327469180479,56978.189781799316,-0.027994963724269135
2023-01-25,93.30896178395369,12370.82732028951,-0.010387654490503653
2023-01-26,93.56296278684914,8969.501045058907,0.002718451794197322
2023-01-27,91.47948476324079,36023.22583545076,-0.022519871548446056
2023-01-28,92.21554316057768,5882.674550352293,0.00801396036691344
2023-01-29,91.15997439278136,137510.9412780604,-0.0115127737983761
2023-01-30,90.67503294300448,71642.2398271346,-0.005333874995865536
2023-01-31,89.63518353018799,13777.944223216304,-0.01153413224458794
2023-02-01,93.06456316999342,3971.3663010514283,0.03754556369017876
2023-02-02,93.08597564802834,85295.10739080494,0.0002300555052413217
2023-02-03,91.18307665329131,19642.682473728833,-0.020654218579118
2023-02-04,92.74188599168124,75948.92181762069,0.01695089824206378
2023-02-05,90.55010483544636,4471.916492309463,-0.023916872999420444
2023-02-06,90.97462431893986,12095.938052029773,0.004677271900095108
2023-02-07,87.52173928829635,22142.269321399323,-0.038693402477595513
2023-02-08,85.27006802693231,23085.975565557,-0.02606372097796861
2023-02-09,85.6492711630223,14043.77517466789,0.00443722471738247
2023-02-10,86.96711397035054,41062.47360177037,0.015269331599908209
2023-02-11,87.30933720216034,7573.265071025544,0.00392736562379941
2023-02-12,87.15119177251597,19103.379106904893,-0.0018129656477648107
2023-02-13,86.67126277130744,24842.113866244938,-0.005522073911785776
2023-02-14,84.18796125952196,36843.66000331751,-0.02907043980734855
2023-02-15,83.026102718792,44874.04651951631,-0.013896884167894172
2023-02-16,82.30585715708003,7153.506307642487,-0.00871277541919575
2023-02-17,84.10657276172822,4749.933178589548,0.021642444524378315
2023-02-18,84.72892847974649,79037.43041001272,0.0073723657913692285
