week,sales,marketing_spend
2022-01-02,1049.3667258294552,78.25508122274395
2022-01-09,1114.8590251502383,90.24928063667419
2022-01-16,1210.3229894379813,136.82362426131849
2022-01-23,1322.0105336615188,110.18025220886665
2022-01-30,1336.9968059034863,154.47544331286704
2022-02-06,1524.7867666396646,156.00263799134976
2022-02-13,1364.6345851825502,115.11930912909075
2022-02-20,1471.546073688712,136.08415065818957
2022-02-27,1584.0802029315187,170.6330001952182
2022-03-06,1516.621880782408,121.52588267188918
2022-03-13,1558.9996401464334,123.86804766585202
2022-03-20,1622.863859601477,132.47737646722638
2022-03-27,1719.9729504501904,127.63359340002978
2022-04-03,1893.6424237338265,94.96922227911007
2022-04-10,1807.4979195344354,76.0840128917893
2022-04-17,2074.3122812932384,105.21123863178175
2022-04-24,1984.3070475551506,101.62186036391182
2022-05-01,2074.5679052451555,78.42796772095309
2022-05-08,2074.831433372493,54.955550717029745
2022-05-15,2116.5229180130505,34.199241862278775
2022-05-22,1990.3252091636775,33.75566816396599
2022-05-29,2080.024701441633,63.69946997104441
2022-06-05,2158.3507989968625,67.21877112309082
2022-06-12,2009.2606205382922,94.8758389468888
2022-06-19,2128.8962084948193,89.77284324853436
2022-06-26,2146.4589868799344,57.972610750425744
2022-07-03,2271.294360309652,121.0389523544584
2022-07-10,2321.399293101023,92.0045706680896
2022-07-17,2348.514754433485,115.55673316314136
2022-07-24,2446.974293475621,138.16013703707367
2022-07-31,2533.0820876568173,181.06254309036208
2022-08-07,2433.538742276099,208.94918325437797
2022-08-14,2465.7564703495445,161.76990488762635
2022-08-21,2348.241097581927,145.97151133049493
2022-08-28,2355.8845267716733,157.44092510388174
2022-09-04,2435.7197921871434,158.90230181215958
2022-09-11,2518.7008962491404,126.74278040089594
2022-09-18,2520.140071210861,159.14038572043486
2022-09-25,2566.2560833729312,116.56719839820597
2022-10-02,2674.9645702711678,109.9548617818279
2022-10-09,2708.487078763204,101.35270182671132
2022-10-16,2889.4896355757696,85.19557361010072
2022-10-23,2975.615061219662,83.6226770973525
2022-10-30,2961.113594803938,46.50574297437875
2022-11-06,2993.5980006419886,42.0831527868087
2022-11-13,3050.984866738677,28.361471635663403
2022-11-20,3033.146376659517,59.154580907501824
2022-11-27,3076.3835387137833,68.82791793597154
2022-12-04,3226.232138473338,68.0062640283549
2022-12-11,3173.226080913618,100.33371575491095
2022-12-18,3255.7676267982156,76.65192102123065
2022-12-25,3348.966333385877,101.4090498974723
2023-01-01,3537.2095985749975,78.16598247721379
2023-01-08,3609.595367671459,104.22378916488988
2023-01-15,3693.846713684652,137.14691375350392
2023-01-22,3880.487835662733,150.13817512690264
2023-01-29,3949.7341012106695,135.26985434139914
2023-02-05,3890.2886522679914,145.31882709710942
2023-02-12,3851.6906389704222,119.2779687712865
2023-02-19,4012.6847292357725,142.49485968877053
2023-02-26,3948.668400682036,164.5584754046665
2023-03-05,4055.813168512547,152.65329361681415
2023-03-12,3969.9964010109165,143.16944733966398
2023-03-19,4185.365997656964,124.23163234580764
2023-03-26,4168.433938074271,112.10704638694148
2023-04-02,4361.538205953326,86.79357721053108
2023-04-09,4418.804668492732,102.0107851896728
2023-04-16,4449.94362525859,85.18330028559934
2023-04-23,4535.153089531319,76.68424404781624
2023-04-30,4622.2164445547105,48.33010985196561
2023-05-07,4601.588377043188,10.182329468304417
2023-05-14,4616.3159035481385,72.30761053017122
2023-05-21,4669.05345598364,40.787807174929206
2023-05-28,4478.703987551984,35.99367258486681
2023-06-04,4637.995946580952,72.72038494359705
2023-06-11,4582.637117644093,59.00361428957761
2023-06-18,4574.471697698143,97.96256907874391
2023-06-25,4613.042414482816,100.37433577715609
2023-07-02,4740.543980461149,113.67138646400952
2023-07-09,4866.524409826458,84.64666899036729
2023-07-16,4874.2116438668245,147.47503830991647
2023-07-23,4998.138425744435,138.38114353671685
2023-07-30,4870.305897664903,133.76365050975872
2023-08-06,4942.47948447016,149.61858148111577
2023-08-13,4867.148901021479,114.11073904693629
2023-08-20,4931.086339606733,157.80849993451613
2023-08-27,4948.05071511744,126.16338197062937
2023-09-03,4891.061388609072,114.09578757781225
2023-09-10,4814.284401990985,102.70894918768212
2023-09-17,5012.306811111403,145.48992610198687
2023-09-24,5103.745912485765,99.38051534052211
2023-10-01,5195.214737748085,130.67455419833004
2023-10-08,5332.796575052796,77.31818752457625
2023-10-15,5305.711185275549,42.61668224595277
2023-10-22,5465.5092133760145,44.513378288987084
2023-10-29,5543.34348706949,83.56703910545599
2023-11-05,5428.170728829638,50.1312243069959
2023-11-12,5553.673546552023,39.398810365285286
2023-11-19,5529.773371911162,53.56492081215304
2023-11-26,5575.614035789992,63.28484258908018
2023-12-03,5638.62987319193,81.19878302336639
2023-12-10,5661.21593774524,95.81385168581872
2023-12-17,5739.899230441195,69.56846848202974
2023-12-24,5883.051044542036,61.513263063981185
